rank,iap_id_2013,iap_name,price_usd,order_cnt,paying_users,distinct_servers,gross_usd,avg_ticket_usd,config_2011
30,2013500356,S6春节限时抢购礼包-19.99,19.99,39,39,16,779.61,19.99,2011400077
31,2013450005,节日大富翁礼包4,19.99,38,38,12,759.62,19.99,2011380005
32,2013500830,节日-大富翁存钱罐礼包,2.99,222,222,38,663.78,2.99,2011400338
33,2013500354,S6春节限时抢购礼包-9.99,9.99,66,66,19,659.34,9.99,2011400075
34,2013510469,节日挖矿-砍价礼包-折扣5,1.99,272,272,54,541.28,1.99,2011500373
35,2013480021,2026节日bp-触发礼包-启程礼包1,4.99,101,101,26,503.99,4.99,2011360049
36,2013450018,节日大富翁礼包12,99.99,5,5,5,499.95,99.99,2011380013
37,2013450004,节日大富翁礼包3,49.99,9,9,5,449.91,49.99,2011380004
38,2013450011,节日大富翁礼包10,29.99,14,14,7,419.86,29.99,2011380011
39,2013450006,节日大富翁礼包5,9.99,42,42,11,419.58,9.99,2011380006
40,2013480022,2026节日bp-触发礼包-启程礼包2,9.99,41,41,17,409.59,9.99,2011360049
41,2013450036,节日大富翁礼包14,99.99,4,4,2,399.96,99.99,2011380015
42,2013559919,节日挖矿-26拓荒节关卡2-2礼包-19.99,19.99,20,20,8,399.8,19.99,2011509993
43,2013559997,节日挖矿-26拓荒节关卡4-2礼包-19.99,19.99,19,19,6,379.81,19.99,2011509999
44,2013510532,拓荒节自选周卡-schema5-29.99,29.99,12,12,10,359.88,29.99,2011500391
45,2013559932,节日挖矿-26拓荒节关卡2-3礼包-19.99,19.99,18,18,7,359.82,19.99,2011509994
46,2013450017,节日大富翁礼包11,49.99,7,7,3,349.93,49.99,2011380012
47,2013559971,节日挖矿-26拓荒节关卡3-3礼包-19.99,19.99,16,16,7,319.84,19.99,2011509997
48,2013559984,节日挖矿-26拓荒节关卡4-1礼包-19.99,19.99,16,16,7,319.84,19.99,2011509998
49,2013450002,节日大富翁礼包1,1.99,156,156,33,310.44,1.99,2011380002
50,2013230308,节日挖矿连锁礼包_1.99,1.99,155,155,50,308.45,1.99,2011230236
51,2013101101,节日骰子特殊红包礼包_99.99,99.99,3,2,2,299.97,99.99,2011100435
52,2013559958,节日挖矿-26拓荒节关卡3-2礼包-19.99,19.99,15,15,7,299.85,19.99,2011509996
53,2013559903,节日挖矿-26拓荒节关卡2-1礼包-9.99,9.99,30,30,9,299.7,9.99,2011509992
54,2013559916,节日挖矿-26拓荒节关卡2-2礼包-9.99,9.99,27,27,8,269.73,9.99,2011509993
55,2013559900,节日挖矿-26拓荒节关卡2-1礼包-4.99,4.99,52,52,12,259.48,4.99,2011509992
56,2013559994,节日挖矿-26拓荒节关卡4-2礼包-9.99,9.99,25,25,7,249.75,9.99,2011509999
57,2013510528,挖矿小游戏-卡包礼包-节日版本,4.99,49,41,21,244.51,4.99,2011500524
58,2013450007,节日大富翁礼包6,4.99,47,47,16,234.53,4.99,2011380007
59,2013450082,节日大富翁组队礼包-小队1,9.99,23,23,12,229.77,9.99,2011370020
60,2013559906,节日挖矿-26拓荒节关卡2-1礼包-19.99,19.99,11,11,5,219.89,19.99,2011509992
61,2013559981,节日挖矿-26拓荒节关卡4-1礼包-9.99,9.99,22,22,7,219.78,9.99,2011509998
62,2013559897,节日挖矿-26拓荒节关卡2-1礼包-1.99,1.99,106,106,23,210.94,1.99,2011509992
63,2013559929,节日挖矿-26拓荒节关卡2-3礼包-9.99,9.99,21,21,8,209.79,9.99,2011509994
64,2013559926,节日挖矿-26拓荒节关卡2-3礼包-4.99,4.99,42,42,13,209.58,4.99,2011509994
65,2013450010,节日大富翁礼包9,9.99,19,19,10,189.81,9.99,2011380010
66,2013559955,节日挖矿-26拓荒节关卡3-2礼包-9.99,9.99,19,19,7,189.81,9.99,2011509996
67,2013559913,节日挖矿-26拓荒节关卡2-2礼包-4.99,4.99,38,38,9,189.62,4.99,2011509993
68,2013559942,节日挖矿-26拓荒节关卡3-1礼包-9.99,9.99,18,18,7,179.82,9.99,2011509995
69,2013559968,节日挖矿-26拓荒节关卡3-3礼包-9.99,9.99,18,18,7,179.82,9.99,2011509997
70,2013501507,25感恩节每日补给升级礼包-第2天,1.99,90,90,22,179.1,1.99,2011400453
71,2013559910,节日挖矿-26拓荒节关卡2-2礼包-1.99,1.99,86,86,18,171.14,1.99,2011509993
72,2013230125,挖矿小游戏活动-矿洞解锁礼包351528,9.99,17,17,14,169.83,9.99,2011230125
73,2013100487,通用装饰商店随机礼包_19.99,19.99,8,8,6,159.92,19.99,2011100175
74,2013450008,节日大富翁礼包7,4.99,32,32,12,159.68,4.99,2011380008
75,2013559939,节日挖矿-26拓荒节关卡3-1礼包-4.99,4.99,31,31,10,154.69,4.99,2011509995
76,2013230309,节日挖矿连锁礼包_4.99,4.99,31,31,19,154.69,4.99,2011230237
77,2013559923,节日挖矿-26拓荒节关卡2-3礼包-1.99,1.99,77,77,18,153.23,1.99,2011509994
78,201330991,节日卡册1-29.99（一键购买）,29.99,5,4,4,149.95,29.99,201130789
79,2013559991,节日挖矿-26拓荒节关卡4-2礼包-4.99,4.99,29,29,7,144.71,4.99,2011509999
80,2013559945,节日挖矿-26拓荒节关卡3-1礼包-19.99,19.99,7,7,4,139.93,19.99,2011509995
81,2013450083,节日大富翁组队礼包-小队2,9.99,14,14,7,139.86,9.99,2011370021
82,2013559952,节日挖矿-26拓荒节关卡3-2礼包-4.99,4.99,28,28,8,139.72,4.99,2011509996
83,2013559965,节日挖矿-26拓荒节关卡3-3礼包-4.99,4.99,27,27,8,134.73,4.99,2011509997
84,2013230108,每日触发礼包_4.99,4.99,27,27,18,134.73,4.99,2011230108
85,2013450009,节日大富翁礼包8,4.99,26,26,12,129.74,4.99,2011380009
86,2013559978,节日挖矿-26拓荒节关卡4-1礼包-4.99,4.99,25,25,9,124.75,4.99,2011509998
87,2013559936,节日挖矿-26拓荒节关卡3-1礼包-1.99,1.99,61,59,14,121.39,1.99,2011509995
88,2013450084,节日大富翁组队礼包-小队3,9.99,12,11,4,119.88,9.99,2011370022
89,2013230121,挖矿小游戏活动-矿洞解锁礼包351518,4.99,24,24,13,119.76,4.99,2011230121
90,2013559949,节日挖矿-26拓荒节关卡3-2礼包-1.99,1.99,52,52,15,103.48,1.99,2011509996
91,2013101104,节日骰子锚点礼包_19.99,19.99,5,5,5,99.95,19.99,2011100436
92,2013510533,拓荒节自选周卡-schema6-29.99,29.99,3,3,3,89.97,29.99,2011500392
93,2013230310,节日挖矿连锁礼包_9.99,9.99,9,9,7,89.91,9.99,2011230238
94,2013559962,节日挖矿-26拓荒节关卡3-3礼包-1.99,1.99,45,45,12,89.55,1.99,2011509997
95,2013559975,节日挖矿-26拓荒节关卡4-1礼包-1.99,1.99,44,44,12,87.56,1.99,2011509998
96,2013450085,节日大富翁组队礼包-小队4,9.99,8,8,6,79.92,9.99,2011370023
97,2013559988,节日挖矿-26拓荒节关卡4-2礼包-1.99,1.99,40,40,9,79.6,1.99,2011509999
98,2013230122,挖矿小游戏活动-矿洞解锁礼包351519,4.99,13,13,9,64.87,4.99,2011230122
99,2013500179,节日通用-强消耗抽奖券礼包_19.99,19.99,3,3,3,59.97,19.99,2011360027
100,2013230314,节日挖矿连锁礼包_49.99,49.99,1,1,1,49.99,49.99,2011230242
101,2013101100,节日骰子特殊红包礼包_49.99,49.99,1,1,1,49.99,49.99,2011100434
102,2013101105,节日骰子锚点礼包_49.99,49.99,1,1,1,49.99,49.99,2011100436
103,2013511095,挖矿小游戏活动-矿洞解锁礼包新增3,9.99,5,5,3,49.95,9.99,2011230126
104,2013230311,节日挖矿连锁礼包_9.99,9.99,5,5,5,49.95,9.99,2011230239
105,2013500187,节日通用强消耗触发礼包1-6,2.99,15,15,7,44.85,2.99,2011360033
106,2013230126,挖矿小游戏活动-矿洞解锁礼包351529,9.99,4,4,4,39.96,9.99,2011230126
107,2013101102,节日骰子锚点礼包_4.99,4.99,7,7,5,34.93,4.99,2011100436
108,2013230313,节日挖矿连锁礼包_29.99,29.99,1,1,1,29.99,29.99,2011230241
109,2013230123,挖矿小游戏活动-矿洞解锁礼包351524,9.99,3,3,3,29.97,9.99,2011230123
110,2013230124,挖矿小游戏活动-矿洞解锁礼包351525,9.99,3,3,3,29.97,9.99,2011230124
111,2013101103,节日骰子锚点礼包_9.99,9.99,3,3,2,29.97,9.99,2011100436
112,2013230206,挖矿小游戏-活动药水锚点礼包-4.99,4.99,6,6,6,29.94,4.99,2011230206
113,2013500182,节日通用强消耗触发礼包1,2.99,10,10,8,29.9,2.99,2011360028
114,2013510465,节日挖矿-砍价礼包-折扣1,24.99,1,1,1,24.99,24.99,2011500369
115,2013510466,节日挖矿-砍价礼包-折扣2,19.99,1,1,1,19.99,19.99,2011500370
116,2013480018,2026节日bp-随机礼包-19.99,19.99,1,1,1,19.99,19.99,2011360046
117,2013510534,拓荒节自选周卡-schema6-19.99,19.99,1,1,1,19.99,19.99,2011500393
118,2013230208,挖矿小游戏-活动药水锚点礼包-19.99,19.99,1,1,1,19.99,19.99,2011230208
119,2013230312,节日挖矿连锁礼包_19.99,19.99,1,1,1,19.99,19.99,2011230240
120,2013511094,挖矿小游戏活动-矿洞解锁礼包新增2,9.99,2,2,2,19.98,9.99,2011230126
121,2013500183,节日通用强消耗触发礼包2,9.99,2,2,2,19.98,9.99,2011360029
122,2013500178,节日通用-强消耗抽奖券礼包_9.99,9.99,2,2,1,19.98,9.99,2011360027
123,2013100370,2023装饰兑换券礼包_9.99,9.99,2,2,2,19.98,9.99,2011100076
124,2013510468,节日挖矿-砍价礼包-折扣4,4.99,4,4,4,19.96,4.99,2011500372
125,2013500177,节日通用-强消耗抽奖券礼包_4.99,4.99,3,3,3,14.97,4.99,2011360027
126,2013230207,挖矿小游戏-活动药水锚点礼包-9.99,9.99,1,1,1,9.99,9.99,2011230207
127,2013500188,节日通用强消耗触发礼包2-6,9.99,1,1,1,9.99,9.99,2011360034
128,2013510531,拓荒节自选周卡-schema5-4.99,4.99,2,2,2,9.98,4.99,2011500390
129,2013100369,2023装饰兑换券礼包_4.99,4.99,1,1,1,4.99,4.99,2011100076
